                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
                                           Regular season                                           

                                                                                                Throw    
Name             Team     P Age    c       1b      2b      3b      ss      lf      cf      rf   OF  C PB 
Davidson                 1b  27          Av/95   Fr/98   Fr/110                                          
Dunn,O                   3b  27          Av/100          Av/138                                          
Gonzalez,O               lf  27                                          Fr/151          Fr/151 Av       
Gorski                   1b  27          Fr/116                          Fr/98   Fr/98          Av       
Handley                  c   27  Fr/99                                                             Pr  2 
Huff                     c   27  Pr/70                                                             Pr  3 
Hurtubise                lf  27                                          Fr/95                  Av       
Jones,G                  rf  27                                                          Av/100 Fr       
Jones,J                  dh  27                                          Pr/168          Pr/168 Av       
Kieboom                  1b  27          Fr/138                                                          
Koss                     2b  27                  Vg/105  Vg/123  Av/118                                  
Kreidler                 cf  27                                                  Av/77          Av       
McCusker                 rf  27                                                          Av/90  Av       
Millas                   c   27  Av/195                                                            Av  2 
Misner                   cf  27                                          Vg/169  Av/169  Vg/169 Fr       
Rave                     lf  27                                          Vg/213  Av/213  Vg/213 Av       
Robertson,W              lf  27                                          Av/129          Av/129 Av       
Robertson,W              lf  27                                          Av/137          Av/137 Av       
Robertson,W              lf  27                                          Av/95           Av/95  Av       
Rortvedt                 c   27  Fr/72                                                             Fr  1 
Rortvedt                 c   27  Fr/96                                                             Fr  1 
Sanchez,J                lf  27                                          Av/300          Av/300 Ex       
Sanchez,J                rf  27                                          Av/106  Fr/106  Av/106 Ex       
Tolbert                  cf  27                  Fr/98   Fr/116  Fr/98   Av/72   Av/72   Av/72  Vg       
Trammell                 cf  27                                          Vg/40   Av/40   Vg/40  Fr       
Vaughn                   1b  27          Fr/49                                                           
Vaughn                   1b  27          Fr/159                                                          
Alcantara,Se             3b  28                          Fr/115                                          
Alexander,C              1b  28          Fr/97           Fr/97           Av/99           Av/99  Av       
Baker,L                  dh  28          Fr/99                                                           
Banuelos                 c   28  Pr/100                                                            Pr  1 
Caballero                ss  28                  Vg/124  Vg/117  Vg/96   Av/159          Av/159 Vg       
Caballero                ss  28                  Vg/182  Vg/85   Vg/105  Av/59   Av/59   Av/59  Vg       
Cameron,D                rf  28                                          Pr/84           Pr/84  Av       
Capra                    3b  28                  Vg/96   Vg/92   Av/81                                   
Capra                    ss  28                  Vg/98   Vg/95   Av/84                                   
Capra                    3b  28                  Vg/98   Vg/100  Av/98                                   
Castro,W                 rf  28                  Fr/92   Fr/89           Av/71   Fr/71   Av/71  Av       
Castro,W                 lf  28                  Fr/55   Fr/179  Pr/138  Av/180  Fr/180  Av/180 Av       
Cortes,C                 rf  28                                          Av/145          Av/145 Pr       
Crim                     1b  28          Av/72                                                           
Crim                     1b  28          Av/95                                                           
Crim                     1b  28          Av/77                                                           
Dean                     cf  28                                                  Av/95          Av       
Devanney                 3b  28                          Av/123                                          
Devers                   dh  28          Av/124          Fr/98                                           
Devers                   dh  28                                                                          
Eaton                    rf  28                          Pr/85           Fr/73   Fr/73   Fr/73  Ex       
English                  1b  28          Av/88                                                           
Feduccia                 c   28  Av/53                                                             Fr  1 
Feduccia                 1b  28          Fr/100                                                          
Feduccia                 c   28  Av/53                                                             Fr  1 
Fortes                   c   28  Vg/154                                                            Fr  4 
Fortes                   c   28  Vg/125                                                            Fr  4 
Hayes                    3b  28                          Ex/36                                           
Hayes                    3b  28                          Ex/39                                           
Hiura                    1b  28          Fr/184                                                          
Johnston                 1b  28          Av/78                           Av/156          Av/156 Fr       
Kaiser                   2b  28                  Av/91                                                   
Keirsey                  rf  28                                          Av/50   Fr/50   Av/50  Av       
Lockridge                lf  28                                          Av/154  Av/154  Av/154 Vg       
Lockridge                lf  28                                          Av/179  Av/179  Av/179 Vg       
Lockridge                rf  28                                          Av/76   Av/76   Av/76  Vg       
MacIver                  c   28  Av/131                                                            Vg  3 
Maton,N                  dh  28          Fr/96   Pr/119                                                  
Miller,O                 2b  28                  Vg/93   Vg/99                                           
Montes                   2b  28                  Fr/97   Fr/99           Fr/99                  Fr       
Naylor,J                 1b  28          Av/50                                                           
Naylor,J                 1b  28          Av/115                                                          
Outman                   cf  28                                                  Av/78   Av/78  Av       
Outman                   cf  28                                          Av/114  Av/114  Av/114 Av       
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

                                                                                                Throw    
Name             Team     P Age    c       1b      2b      3b      ss      lf      cf      rf   OF  C PB 
Pozo                     c   28  Av/200  Pr/97                                                     Pr  5 
Sanchez,A                c   28  Fr/99                                                             Av  3 
Sanchez,A                c   28  Fr/90                                                             Av  3 
Senger                   c   28  Ex/113                                                            Av  3 
Stevenson                cf  28                                                  Fr/97          Av       
Stubbs,CJ                c   28  Vg/98                                                             Av  4 
Vavra                    2b  28                  Av/100                                                  
Villar                   1b  28          Av/90                                                           
Williams,L               ss  28                          Pr/110  Pr/87                                   
Avans                    lf  29                                          Fr/91   Fr/91   Fr/91  Av       
Avans                    lf  29                                          Fr/98                  Av       
Avans                    lf  29                                          Fr/93   Fr/93   Fr/93  Av       
Azocar                   lf  29                                          Av/90   Fr/90   Av/90  Vg       
Azocar                   rf  29                                                          Av/100 Vg       
Azocar                   lf  29                                          Av/90   Fr/90   Av/90  Vg       
Bouchard                 rf  29          Av/99                           Fr/160          Fr/160 Fr       
Bride                    3b  29          Vg/96   Av/99   Av/74                                           
Bride                    dh  29          Vg/94           Av/96                                           
Brooks                   dh  29                                          Av/99                  Av       
Clemens                  lf  29                  Av/100                  Av/100                 Av       
Clemens                  1b  29          Ex/20   Av/94                   Av/77           Av/77  Av       
Gasper                   c   29  Av/136  Fr/96   Pr/119                  Pr/99                  Fr Pr  2 
Gray,T                   2b  29          Av/151  Fr/112  Fr/130  Pr/88                                   
Helman                   cf  29                                                  Av/48          Fr       
Hicklen                  cf  29                                                  Av/98          Av       
Hill,D                   cf  29                                                  Vg/96          Av       
Hill,D                   cf  29                                                  Vg/38          Av       
Jackson,A                c   29  Av/106                                                            Vg  3 
Johnson,B                lf  29                                          Vg/56   Vg/56   Vg/56  Av       
Johnson,D                cf  29                                          Vg/74   Vg/74   Vg/74  Pr       
Johnson,D                cf  29                                          Vg/87   Vg/87   Vg/87  Pr       
Johnson,D                cf  29                                          Vg/86   Vg/86   Vg/86  Pr       
Julks                    lf  29                                          Av/94                  Av       
Kim,Ha                   ss  29                                  Av/58                                   
Kim,Ha                   ss  29                  Vg/91           Av/69                                   
Lowe,N                   1b  29          Av/52                                                           
Lowe,N                   1b  29          Av/137                                                          
Mangum                   lf  29                                          Vg/0    Av/0    Vg/0   Pr       
Mastrobuoni              3b  29          Av/98   Av/115  Fr/68           Vg/77           Vg/77  Fr       
Noda                     1b  29          Av/85                                           Vg/93  Av       
Noda                     rf  29                                                          Vg/95  Av       
Noda                     1b  29          Av/85                                           Vg/98  Av       
Palacios,J               rf  29                                          Fr/203          Fr/203 Av       
Pereda                   c   29  Av/205                                                            Av  3 
Pereda                   c   29  Av/191                                                            Av  3 
Pereda                   c   29  Av/109                                                            Av  3 
Porter                   c   29  Av/96                                                             Av  4 
Rosario,A                3b  29                  Pr/99   Pr/90                           Fr/97  Fr       
Rosario,A                3b  29                  Pr/128  Pr/153                                          
Trejo                    ss  29                                  Av/107                                  
Young,Jar                dh  29                                          Av/99                  Av       
Andujar                  dh  30          Pr/98                           Pr/97                  Av       
Andujar                  3b  30                          Pr/83           Pr/55           Pr/55  Av       
Arcia                    ss  30                                  Av/84                                   
Arcia                    3b  30          Av/85   Av/103  Vg/129  Av/122                                  
Call                     lf  30                                          Vg/62           Vg/62  Fr       
Call                     rf  30                                          Vg/3    Av/3    Vg/3   Fr       
Correa                   3b  30                          Vg/76   Av/95                                   
Correa                   ss  30                                  Av/124                                  
Escarra                  c   30  Fr/136  Pr/98           Pr/100                                    Fr  1 
Fermin,F                 c   30  Vg/105                                                            Ex  3 
Fermin,F                 c   30  Vg/65                                                             Ex  3 
Fraley                   rf  30                                          Av/91           Av/91  Fr       
Fraley                   rf  30                                          Av/194          Av/194 Fr       
France,T                 1b  30          Av/25                                                           
France,T                 1b  30          Av/149                                                          
Hampson                  lf  30                  Vg/98   Vg/99   Av/98   Vg/95   Vg/95          Fr       
Hampson                  cf  30                  Vg/100  Vg/100  Av/100  Vg/85   Vg/85   Vg/85  Fr       
Hampson                  2b  30                  Vg/85   Vg/98   Av/99   Vg/97   Vg/97          Fr       
Hummel                   lf  30                                          Pr/63                  Fr       
Hummel                   lf  30                                          Pr/63                  Fr       
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

                                                                                                Throw    
Name             Team     P Age    c       1b      2b      3b      ss      lf      cf      rf   OF  C PB 
Hummel                   rf  30                                                          Pr/100 Fr       
Jansen,D                 c   30  Fr/70                                                             Av  1 
Jansen,D                 c   30  Fr/146                                                            Av  1 
Kiner-Falefa             ss  30                          Vg/95   Av/75                                   
Kiner-Falefa             3b  30                  Vg/95   Vg/109  Av/100                                  
Laureano                 lf  30                                          Fr/95   Fr/95   Fr/95  Vg       
Laureano                 rf  30                                          Fr/296  Fr/296  Fr/296 Vg       
Lopez,N                  3b  30                          Vg/90   Av/99                                   
Lopez,N                  ss  30                          Vg/98   Av/132                                  
McCoy                    ss  30                  Vg/96           Av/107                                  
McKinney                 rf  30                                          Av/92           Av/92  Av       
McMahon                  3b  30                          Vg/82                                           
McMahon                  3b  30                          Vg/60                                           
Mullins                  cf  30                                                  Av/38          Pr       
Mullins                  cf  30                                                  Av/115         Pr       
Navarreto                c   30  Vg/93                                                             Fr  4 
Nunez,Do                 c   30  Av/97                                                             Fr  4 
Robinson                 c   30  Pr/99                                                             Fr  4 
Short                    ss  30                                  Pr/112                                  
Solak                    1b  30          Av/96                           Pr/99                  Fr       
Straw                    cf  30                                          Ex/45   Vg/45   Ex/45  Fr       
Tellez                   1b  30          Fr/133                                                          
Tellez                   1b  30          Fr/49                                                           
Thaiss                   c   30  Av/221  Pr/100                                                    Fr  2 
Thaiss                   c   30  Av/62   Pr/100                                                    Fr  2 
Tromp                    c   30  Av/123                                                            Fr  5 
Tromp                    c   30  Av/97                                                             Fr  5 
Tromp                    c   30  Av/131                                                            Fr  5 
Wilson,We                lf  30          Fr/134  Pr/84                   Fr/63                  Av       
Bader                    cf  31                                                  Vg/202         Av       
Bader                    lf  31                                          Vg/40   Vg/40   Vg/40  Av       
Fitzgerald,R             ss  31          Av/99   Av/90   Av/136  Fr/90                                   
Haggerty                 lf  31                  Fr/98                   Fr/46   Pr/46   Fr/46  Av       
Hilliard                 lf  31                                          Fr/74   Pr/74   Fr/74  Vg       
Kingery                  2b  31                  Pr/89           Pr/119          Av/98   Av/98  Fr       
Machin                   3b  31                          Av/94                                           
O'Hearn                  1b  31          Vg/139                                          Fr/96  Fr       
O'Hearn                  1b  31          Vg/142                          Fr/71           Fr/71  Fr       
Reyes                    2b  31                  Pr/94   Pr/125          Fr/95           Fr/95  Av       
Sullivan                 c   31  Vg/95                                                             Av  4 
Urias,R                  2b  31                  Av/65   Vg/105                                          
Urias,R                  3b  31          Vg/97   Av/98   Vg/48                                           
Wade,L                   1b  31          Av/165                                                          
Wade,L                   rf  31          Av/94                           Fr/74           Fr/74  Av       
Walton                   2b  31                  Fr/96                                                   
Alfaro                   c   32  Vg/82                                                             Vg  6 
Allen,G                  cf  32                                          Av/92   Av/92          Av       
Blanco,D                 cf  32                                          Av/95   Fr/95          Av       
Davis,JD                 1b  32          Av/97           Fr/98                                           
Garcia,Ar                c   32  Av/98                                                             Pr  4 
Joe                      rf  32          Av/96                           Av/151  Fr/151  Av/151 Av       
Joe                      1b  32          Av/99                           Av/98   Fr/98          Av       
Moore,D                  2b  32          Vg/133  Av/113  Vg/117  Av/93                   Fr/146 Av       
Moore,D                  2b  32          Vg/136  Av/118  Vg/117  Av/93                   Fr/146 Av       
Moore,D                  2b  32          Vg/99   Av/93                                   Fr/97  Av       
Slater                   rf  32                                          Av/182  Av/182  Av/182 Ex       
Slater                   lf  32                                          Av/90           Av/90  Ex       
Stubbs,G                 c   32  Av/99                                                             Av  4 
Frazier                  2b  33                  Av/41                   Av/144          Av/144 Fr       
Frazier                  2b  33                  Av/66   Av/93           Av/134          Av/134 Fr       
Grichuk                  rf  33                                          Fr/145  Fr/145  Fr/145 Ex       
Grichuk                  dh  33                                          Fr/69   Fr/69   Fr/69  Ex       
Hernandez,E              3b  33          Vg/66   Av/108  Av/117          Vg/150  Av/150         Av       
Narvaez,O                c   33  Av/122                                                            Pr  4 
Rosario,E                rf  33                                                          Av/98  Fr       
Rosario,E                rf  33                                                          Av/98  Fr       
Rosario,E                rf  33                                                                          
Suarez,E                 3b  33          Fr/127          Fr/95                                           
Suarez,E                 3b  33          Fr/100          Fr/139                                          
Urshela                  3b  33          Av/97           Av/81                                           
Heineman                 c   34  Vg/221                                                            Fr  0 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

                                                                                                Throw    
Name             Team     P Age    c       1b      2b      3b      ss      lf      cf      rf   OF  C PB 
Jankowski                rf  34                                          Ex/76   Vg/76   Ex/76  Fr       
Jankowski                rf  34                                          Ex/93           Ex/93  Fr       
Jankowski                rf  34                                                  Vg/93   Ex/93  Fr       
Jankowski                rf  34                                          Ex/85           Ex/85  Fr       
Taylor,C                 rf  34                  Fr/88   Fr/99           Av/55   Fr/55   Av/55  Av       
Taylor,C                 lf  34                  Fr/97                   Av/84   Fr/84   Av/84  Av       
Taylor,C                 rf  34                  Fr/90   Fr/99           Av/71   Fr/71   Av/71  Av       
Wynns                    c   34  Fr/83   Pr/99                                                     Av  3 
Wynns                    c   34  Fr/80   Pr/99                                                     Av  3 
Wynns                    c   34  Fr/102                                                            Av  3 
Yastrzemski              rf  34                                                          Av/54  Av       
Yastrzemski              rf  34                                          Av/33   Fr/33   Av/33  Av       
Berti                    3b  35                  Av/115  Av/104                                          
Brantly                  c   35  Vg/97                                                             Pr  4 
Heyward                  lf  35                                          Vg/57   Av/57   Vg/57  Av       
Martini                  dh  35                                          Fr/78           Fr/78  Av       
Nola,Au                  c   35  Av/82   Pr/99                                                     Av  3 
Stallings                c   35  Av/107                                                            Fr  4 
Stallings                c   35  Av/186                                                            Fr  4 
Leon                     c   36  Fr/94                                                             Fr  4 
Solano                   1b  37          Av/25           Fr/100                                          
Solano                   2b  37                  Pr/98                                                   
Santana,C                1b  39          Vg/94                                                           
Santana,C                1b  39          Vg/46                                                           
Gurriel,Y                dh  41          Av/93                                                           
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age %Act  %IL Salary Year 
Samuel Basallo*                  c   20   24    0    760    0 
Bryce Eldridge*                  dh  20    8    0    760    0 
Roman Anthony*                   rf  21   45   14    760    0 
Moises Ballesteros*              dh  21   15    0    760    0 
Denzer Guzman                    ss  21    9    0    760    0 
Carter Jensen*                   dh  21   15    0    760    0 
Sal Stewart                      1b  21   15    0    760    0 
Cole Young*                      2b  21   65    0    760    0 
Maximo Acosta                    3b  22   12    0    760    0 
Jac Caglianone*                  rf  22   43   20    760    0 
Owen Caissie*                    rf  22   12    0    760    0 
Yanquiel Fernandez*              dh  22   48    0    760    0 
Harry Ford                       c   22   15    0    760    0 
Jhostynxon Garcia                rf  22    5    0    760    0 
Brady House                      3b  22   56    0    760    0 
Kyle Karros                      3b  22   30    0    760    0 
Luke Keaschall                   2b  22   32   56    760    0 
Nick Kurtz*                      1b  22   77    9    760    0 
Daylen Lile*                     rf  22   64    0    760    0 
Marcelo Mayer*                   3b  22   30   36    760    0 
Christian Moore                  2b  22   35   16    760    0 
Max P. Muncy                     3b  22   44   32    760    0 
Alejandro Osuna*                 lf  22   55    0    760    0 
Edgar Quero#                     c   22   90    0    760    0 
Cam Smith                        rf  22  100    0    760    0 
Carson Williams                  ss  22   22    0    760    0 
Dylan Beavers*                   lf  23   25    0    760    0 
Warming Bernabel                 1b  23   28    0    760    0 
Kristian Campbell                2b  23   47    0   1000    0 
Tsung-Che Cheng*                 ss  23    5    0    760    0 
Jimmy Crooks*                    c   23   17    0    760    0 
Alex Freeland#                   3b  23   20    0    760    0 
Petey Halpin*                    cf  23    6    0    760    0 
Robert Hassell*                  cf  23   47    0    760    0 
C.J. Kayfus*                     rf  23   33    0    760    0 
Brice Matthews                   2b  23   14    0    760    0 
Chase Meidroth                   ss  23   81   11    760    0 
Victor Mesa*                     rf  23   11    0    760    0 
Colson Montgomery*               ss  23   46    0    760    0 
Kyren Paris                      cf  23   34    0    770    0 
Agustin Ramirez                  c   23   87    0    760    0 
Matt Shaw                        3b  23   82    0    760    0 
Kyle Teel*                       c   23   61    0    760    0 
Zac Veen*                        rf  23    8    0    760    0 
Drake Baldwin*                   c   24  100    0    760    0 
Jorge Barrosa#                   cf  24   34    0    760    0 
Nathan Church*                   cf  24   23    0    760    0 
Zach Cole*                       rf  24    9    0    760    0 
Rafael Flores                    1b  24    6    0    760    0 
Cody Freeman                     2b  24   27    0    760    0 
Drew Gilbert*                    rf  24   29    0    760    0 
Matthew Lugo                     cf  24   29    0    760    0 
Jakob Marsee*                    cf  24   34    0    760    0 
Ronny Mauricio#                  3b  24   63   28    766    0 
Curtis Mead                      3b  24   31    0    762    0 
Curtis Mead                      2b  24   56    0    762    0 
Jacob Melton*                    cf  24   24   23    760    0 
Graham Pauley*                   3b  24   58   17    761    0 
Liover Peguero                   ss  24   39    0    760    0 
Ryan Ritter                      ss  24   48   14    760    0 
Dalton Rushing*                  c   24   69    6    760    0 
Chandler Simpson*                cf  24   75    0    760    0 
Colby Thomas                     rf  24   41    0    760    0 
George Valera*                   dh  24   17    0    760    0 
Jorbit Vivas*                    2b  24   26    0    760    0 
Ben Williamson                   3b  24   58    0    760    0 
Jordyn Adams                     cf  25    7    0    760    0 
Will Banfield                    c   25    8    0    760    0 
Tyler Callihan*                  lf  25    4   78    760    0 
Alexander Canario                lf  25   96    0    760    0 
Denzel Clarke                    cf  25   31   37    760    0 
Kenedy Corona                    cf  25    4    0    760    0 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age %Act  %IL Salary Year 
Caleb Durbin                     3b  25   88    0    760    0 
Dustin Harris*                   lf  25   21    8    760    0 
Heriberto Hernandez              lf  25   67    0    760    0 
Jeremiah Jackson                 rf  25   33    0    760    0 
Jarred Kelenic*                  rf  25   19    0   2300    0 
Otto Kemp                        3b  25   49    0    760    0 
Jonathan Ornelas                 3b  25    4    0    760    0 
Jonathan Ornelas                 ss  25    6    0    760    0 
Tirso Ornelas*                   lf  25    6    0    760    0 
Oswald Peraza                    3b  25  100    0    772    0 
Oswald Peraza                    1b  25   33    0    772    0 
Oswald Peraza                    3b  25   67    0    772    0 
Tristan Peters*                  cf  25    3    0    760    0 
Alan Roden*                      lf  25   46   25    760    0 
Alan Roden*                      lf  25    8   25    760    0 
Alan Roden*                      lf  25   38    0    760    0 
Johnathan Rodriguez              rf  25   38    0    760    0 
Ronny Simon#                     2b  25   28   16    760    0 
Ronny Simon#                     rf  25    7   16    760    0 
Ronny Simon#                     2b  25   21    0    760    0 
Rhylan Thomas*                   rf  25    4    0    760    0 
Luis Vazquez                     ss  25   51    0    760    0 
Gage Workman*                    3b  25   17    7    760    0 
Gage Workman*                    3b  25   15    0    760    0 
Gage Workman*                    3b  25    2    7    760    0 
Akil Baddoo*                     lf  26    6    0    850    0 
Steward Berroa#                  cf  26    1    0    760    0 
Dylan Carlson#                   lf  26   76    0    975    0 
Billy Cook                       cf  26    2    0    760    0 
Blake Dunn                       rf  26   24    0    761    0 
Tim Elko                         1b  26   18   11    760    0 
Justin Foscue                    1b  26    9    0    760    0 
Braxton Fulford                  c   26   52    0    760    0 
Liam Hicks*                      c   26  100    0    760    0 
Niko Kavadas*                    1b  26   15    0    760    0 
Buddy Kennedy                    3b  26   16    0    760    0 
Buddy Kennedy                    3b  26    6    0    760    0 
Buddy Kennedy                    1b  26    6    0    760    0 
Buddy Kennedy                    3b  26    4    0    760    0 
Hyeseong Kim*                    2b  26   62   19   2500    0 
Cesar Prieto*                    2b  26    4    0    760    0 
Sebastian Rivero                 c   26   12    0    760    0 
Anthony Seigler*                 3b  26   38    0    760    0 
Bob Seymour*                     1b  26   25    0    760    0 
Chad Stevens                     2b  26    3    0    760    0 
Leody Taveras#                   rf  26   18    0   4750    0 
Leody Taveras#                   cf  26   22    0   4750    0 
Tim Tawa                         2b  26   60    0    760    0 
Samad Taylor                     rf  26    4    0    760    0 
Bryce Teodosio                   cf  26   32    0    760    0 
Ryan Vilade                      rf  26   11    0    760    0 
Ryan Vilade                      rf  26    7    0    760    0 
Will Wagner*                     3b  26   63    0    763    0 
Will Wagner*                     2b  26   29    0    763    0 
Will Wagner*                     3b  26   34    0    763    0 
Drew Waters#                     lf  26   48    0    760    0 
Shay Whitcomb                    2b  26   22    0    760    0 
Joey Wiemer                      rf  26   23    0    760    0 
Will Wilson                      3b  26   39    0    760    0 
Jack Winkler                     2b  26   30    0    760    0 
Brett Wisely*                    2b  26    3    0    760    0 
Brett Wisely*                    2b  26   29    0    760    0 
Jose Barrero                     ss  27   31    0    760    0 
Vidal Brujan#                    ss  27   25    4    783    0 
Vidal Brujan#                    3b  27   55   11    783    0 
Vidal Brujan#                    cf  27    2    0    783    0 
Gustavo Campero#                 rf  27   30   46    760    0 
Isaac Collins#                   lf  27   98    0    761    0 
Logan Davidson#                  1b  27   19    0    760    0 
Logan Davidson#                  1b  27    9    0    760    0 
Logan Davidson#                  1b  27   10    0    760    0 
Oliver Dunn*                     3b  27   12    0    763    0 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age %Act  %IL Salary Year 
Oscar Gonzalez                   lf  27   15    0    760    0 
Matt Gorski                      1b  27   12    0    760    0 
Maverick Handley                 c   27   27   28    760    0 
Sam Huff                         c   27   38    0    780    0 
Jacob Hurtubise*                 lf  27   12    0    761    0 
Greg Jones#                      rf  27    4    0    760    0 
Jahmai Jones                     dh  27   60    0    810    0 
Carter Kieboom                   1b  27    7    0    760    0 
Christian Koss                   2b  27   82   15    760    0 
Ryan Kreidler                    cf  27   14    0    764    0 
Carson McCusker                  rf  27   19    0    760    0 
Drew Millas#                     c   27   31   18    760    0 
Kameron Misner*                  cf  27   48    0    760    0 
John Rave*                       lf  27   54    0    760    0 
Will Robertson*                  lf  27   26    0    760    0 
Will Robertson*                  lf  27   22    0    760    0 
Will Robertson*                  lf  27    4    0    760    0 
Ben Rortvedt*                    c   27   14    0   1125    0 
Ben Rortvedt*                    c   27   33    0   1125    0 
Jesus Sanchez*                   lf  27   33    0   4500    0 
Jesus Sanchez*                   rf  27   57    9   4500    0 
Tyler Tolbert                    cf  27   76    0    760    0 
Taylor Trammell*                 cf  27   46   54    765    0 
Andrew Vaughn                    1b  27   31    0   5850    0 
Andrew Vaughn                    1b  27   44    0   5850    0 
Sergio Alcantara#                3b  28    1    0    760    0 
CJ Alexander*                    1b  28    7    0    760    0 
Luken Baker                      dh  28   23    0    766    0 
David Banuelos                   c   28    1    0    760    0 
Jose Caballero                   ss  28   33    0    776    0 
Jose Caballero                   ss  28   68    0    776    0 
Daz Cameron                      rf  28   33    0    760    0 
Vinny Capra                      3b  28   50    0    761    0 
Vinny Capra                      ss  28   27    0    761    0 
Vinny Capra                      3b  28   23    0    761    0 
Willi Castro#                    rf  28   33    0   6400    0 
Willi Castro#                    lf  28   57   10   6400    0 
Carlos Cortes*                   rf  28   37    0    760    0 
Blaine Crim                      1b  28   16    0    760    0 
Blaine Crim                      1b  28    7    0    760    0 
Blaine Crim                      1b  28    9    0    760    0 
Justin Dean                      cf  28   19    0    760    0 
Cam Devanney                     3b  28   16    0    760    0 
Rafael Devers*                   dh  28   56    0  27500    0 
Rafael Devers*                   dh  28   45    0  27500    0 
Nate Eaton                       rf  28   36    0    760    0 
Tristin English                  1b  28    9    0    760    0 
Hunter Feduccia*                 c   28   39    0    760    0 
Hunter Feduccia*                 1b  28    7    0    760    0 
Hunter Feduccia*                 c   28   32    0    760    0 
Nick Fortes                      c   28   52   12   1860    0 
Nick Fortes                      c   28   34    0   1860    0 
Ke'Bryan Hayes                   3b  28   33    0   7000    0 
Ke'Bryan Hayes                   3b  28   67    0   7000    0 
Keston Hiura                     1b  28    9    0    760    0 
Troy Johnston*                   1b  28   35    0    760    0 
Connor Kaiser                    2b  28   24    0    760    0 
DaShawn Keirsey*                 rf  28   68    0    761    0 
Brandon Lockridge                lf  28   55    9    760    0 
Brandon Lockridge                lf  28   38    9    760    0 
Brandon Lockridge                rf  28   17    0    760    0 
Willie MacIver                   c   28   52    0    760    0 
Nick Maton*                      dh  28   18    0    900    0 
Owen Miller                      2b  28   12    0    760    0 
Coco Montes                      2b  28   10    0    760    0 
Josh Naylor*                     1b  28   36    0  10900    0 
Josh Naylor*                     1b  28   64    0  10900    0 
James Outman*                    cf  28   20    0    800    0 
James Outman*                    cf  28   25    0    800    0 
Yohel Pozo                       c   28   91    0    760    0 
Ali Sanchez                      c   28   14    0    760    0 
Ali Sanchez                      c   28   10    0    760    0 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age %Act  %IL Salary Year 
Hayden Senger                    c   28   46    0    760    0 
Cal Stevenson*                   cf  28    7    0    760    0 
C.J. Stubbs                      c   28    2    0    760    0 
Terrin Vavra*                    2b  28    2    0    760    0 
David Villar                     1b  28   17    0    760    0 
Luke Williams                    ss  28   65    7    760    0 
Drew Avans*                      lf  29    8    0    760    0 
Drew Avans*                      lf  29    2    0    760    0 
Drew Avans*                      lf  29    6    0    760    0 
Jose Azocar                      lf  29   29    0    760    0 
Jose Azocar                      rf  29    9    0    760    0 
Jose Azocar                      lf  29   20    0    760    0 
Sean Bouchard                    rf  29   28    0    765    0 
Jonah Bride                      3b  29   40    0    772    0 
Jonah Bride                      dh  29    9    0    772    0 
Trenton Brooks*                  dh  29   25    0    760    0 
Kody Clemens*                    lf  29   15    0    771    0 
Kody Clemens*                    1b  29   84    0    771    0 
Mickey Gasper#                   c   29   56    0    762    0 
Tristan Gray*                    2b  29   35    0    760    0 
Michael Helman                   cf  29   33    0    760    0 
Brewer Hicklen                   cf  29    2    0    760    0 
Derek Hill                       cf  29    3    0    831    0 
Derek Hill                       cf  29   46   51    831    0 
Alex Jackson                     c   29   46    0    760    0 
Bryce Johnson#                   lf  29   57    0    760    0 
Daniel Johnson*                  cf  29   31    0    760    0 
Daniel Johnson*                  cf  29   16    0    760    0 
Daniel Johnson*                  cf  29   15    0    760    0 
Corey Julks                      lf  29   10    0    760    0 
Ha-Seong Kim                     ss  29   15    0  13000    0 
Ha-Seong Kim                     ss  29   20   65  13000    0 
Nathaniel Lowe*                  1b  29   22    0    760    0 
Nathaniel Lowe*                  1b  29   74    0  10300    0 
Jake Mangum#                     lf  29   80   20    760    0 
Miles Mastrobuoni*               3b  29   73    0    768    0 
Ryan Noda*                       1b  29   19   11    760    0 
Ryan Noda*                       rf  29    7    0    760    0 
Ryan Noda*                       1b  29   12   11    760    0 
Joshua Palacios*                 rf  29   36    0    760    0 
Jhonny Pereda                    c   29   45    0    760    0 
Jhonny Pereda                    c   29   12    0    760    0 
Jhonny Pereda                    c   29   33    0    760    0 
Logan Porter                     c   29    4    0    760    0 
Amed Rosario                     3b  29   31    5   2000    0 
Amed Rosario                     3b  29   64    0   2000    0 
Alan Trejo                       ss  29   10    0    850    0 
Jared Young*                     dh  29   28    0   1150    0 
Miguel Andujar                   dh  30   30    2   3000    0 
Miguel Andujar                   3b  30   48   20   3000    0 
Orlando Arcia                    ss  30   30    0   2000    0 
Orlando Arcia                    3b  30   60    6    760    0 
